Manufacturer,Model,Doors,MPG Hwy,MPG City,Seats,Type
Volkswagen,Arteon,4,31,22,5,Sedan
Volkswagen,Atlas,4,26,20,6,SUV
Volkswagen,Beetle,2,33,26,4,Hatchback
Volkswagen,Beetle Convertable ,2,33,26,4,Convertable 
Volkswagen,e-Golf,4,111,126,5,Compact
Volkswagen,Golf,4,37,29,4,Hatchback
Volkswagen,Golf Alltrack,4,30,21,5,Wagon
Volkswagen,Golf GTI,4,32,24,5,Compact
Volkswagen,Golf R,4,29,21,5,Compact
Volkswagen,Golf SportWagen,4,37,29,5,Wagon
Volkswagen,Jetta,4,40,30,5,Sedan
Volkswagen,Jetta GLI,4,32,25,5,Sedan
Volkswagen,Passat,4,34,23,5,Sedan
Volkswagen,Tiguan,4,29,22,7,SUV
